id_bu,id_bu_encuesta,encuesta,encuesta_a,encuesta_m,pond,secu,estrato,region_3,zona_u_r,gse,bienestar_2,bienestar_7_a,bienestar_7_d,bienestar_7_f,bienestar_7_b,bienestar_7_g,bienestar_7_h,bienestar_7_c,bienestar_7_e,bienestar_7_j,percepcion_1_a,percepcion_1_b,percepcion_1_c,percepcion_2,percepcion_3,percepcion_5,percepcion_6,percepcion_38,percepcion_4,eval_gob_1,iden_pol_2,eval_act_pol_1_fh,eval_act_pol_1_co,eval_act_pol_1_ae,eval_act_pol_1_el,eval_act_pol_1_dv,eval_act_pol_1_ca,eval_act_pol_1_gu,eval_act_pol_1_en,eval_act_pol_1_gm,eval_act_pol_1_em,eval_act_pol_1_hb,eval_act_pol_1_ft,eval_act_pol_1_gq,eval_act_pol_1_gw,eval_act_pol_1_hd,eval_act_pol_1_gt,confianza_6_a,confianza_6_b,confianza_6_c,confianza_6_j,confianza_6_d,confianza_6_e,confianza_6_f,confianza_6_n,confianza_6_x,confianza_6_g,confianza_6_h,confianza_6_i,confianza_6_k,confianza_6_s,confianza_6_o,confianza_6_p,confianza_6_r,confianza_6_m,confianza_6_ab,confianza_6_ac,democracia_21,ciudadania_28_c,democracia_38,democracia_39_a,democracia_39_b,democracia_40_a,democracia_40_b,democracia_40_c,democracia_40_d,religion_14,pobreza_39_a,pobreza_39_n,pobreza_39_e,pobreza_39_g,pobreza_39_h,pobreza_39_m,pobreza_112,pobreza_113,percepcion_32_a,percepcion_32_b,pobreza_63,pobreza_115,pobreza_13_a,pobreza_13_b,pobreza_13_c,bienestar_23_a,bienestar_23_b,bienestar_23_c,bienestar_23_d,bienestar_24,interes_pol_24_a,interes_pol_24_b,interes_pol_24_c,interes_pol_24_d,interes_pol_24_e,interes_pol_18_a,interes_pol_18_j,interes_pol_18_b,interes_pol_18_c,interes_pol_18_d,interes_pol_18_k,interes_pol_18_l,interes_pol_18_e,interes_pol_18_f,interes_pol_18_h,interes_pol_18_m,interes_pol_18_n,interes_pol_18_o,interes_pol_18_p,interes_pol_18_g,interes_pol_18_q,interes_pol_18_r,interes_pol_25,redes_1,redes_59_a,redes_59_b,redes_59_c,redes_59_d,redes_59_e,redes_60_a,redes_60_b,redes_61,religion_63,pobreza_62,pobreza_109_a,pobreza_109_b,pobreza_109_c,pobreza_109_d,pobreza_109_e,pobreza_109_f,pobreza_109_g,pobreza_109_h,pobreza_109_i,pobreza_1_a,pobreza_1_b,pobreza_2_a,pobreza_2_b,educacion_104_a,pobreza_75_e,pobreza_75_d,pobreza_75_c,pobreza_75_a,pobreza_75_b,pobreza_75_f,pobreza_75_g,pobreza_76_e,pobreza_76_d,pobreza_76_c,pobreza_76_a,pobreza_76_b,pobreza_76_f,pobreza_76_g,pobreza_116,interes_pol_1_b,iden_pol_3,iden_pol_3_a,elec_part_37,elec_pres_144_a,elec_pres_144_b_2,elec_pres_145_a,elec_pres_145_b,elec_pres_1,sexo,edad,info_enc_59_2,info_enc_58,info_enc_30_b,info_enc_8,estado_civil_g,info_enc_61,esc_nivel_1_c,info_enc_57,info_hogar_28_c,pobreza_100,info_enc_62
1-93,1,93,2025,3,2.044705806753864,93191,20,13,1,3,8,2,4,4,3,4,3,3,4,3,3,26,14,2,3,2,3,4,3,1,5,4,4,2,5,2,3,3,3,3,4,6,3,4,6,3,6,4,3,2,4,3,4,4,3,4,1,2,4,4,3,3,4,3,1,3,4,1,4,5,3,1,1,1,1,1,3,1,1,3,1,3,1,2,5,1,4,6,1,9,5,2,8,10,5,10,1,1,3,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,3,2,1,4,12,1,4,4,7,7,5,1,7,1,3,1,1,1,5,7,6,1,3,2,5,2,2,3,1,1,2,2,1,1,1,1,1,1,1,3,3,15,15,1,-9,,1,9,-9,2,52,1,2,,1,1,2,6,2,4,4,2
10-93,10,93,2025,3,.4866190150327501,93183,20,13,1,3,7,3,1,5,5,4,3,5,4,1,1,10,3,2,2,3,2,4,2,2,-8,3,3,-8,-8,-8,6,-8,6,6,3,6,6,6,6,6,6,3,2,2,3,3,3,3,3,4,2,2,3,3,3,3,2,2,3,3,3,1,1,10,1,1,1,1,1,1,1,2,2,2,2,2,2,3,6,1,8,1,7,6,2,14,10,7,4,5,1,1,1,4,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,1,2,,2,2,5,2,5,2,5,5,10,10,10,0,0,0,0,0,0,0,0,0,6,3,3,8,7,1,1,1,2,1,2,1,2,2,2,2,2,1,2,3,5,15,15,1,3,,1,3,-9,2,60,1,2,,1,5,2,3,1,,0,1
100-93,100,93,2025,3,.4137132552980233,93294,26,16,2,3,7,5,5,5,4,5,2,4,4,5,2,3,9,3,2,3,3,5,2,2,5,2,2,4,3,3,2,6,6,6,6,6,6,6,6,6,6,4,3,1,4,2,2,4,4,4,3,2,4,4,3,3,3,1,2,2,3,3,1,8,1,2,1,2,1,1,3,1,1,1,3,1,2,1,2,5,6,10,5,1,9,11,0,0,0,4,1,1,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,12,6,6,1,4,5,0,7,10,1,10,0,10,0,0,0,10,10,5,10,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,15,15,1,2,,4,8,21,2,34,1,2,,1,1,2,4,2,1,2,2
1000-93,1000,93,2025,3,1.349172936776036,93104,12,8,1,3,10,5,-7,-7,5,-7,2,5,5,4,3,5,2,3,2,4,3,3,2,2,7,2,3,4,2,3,3,3,3,3,3,3,3,3,3,2,6,4,2,2,3,3,2,3,2,3,3,2,3,3,3,2,3,2,2,3,3,1,2,5,3,3,1,1,1,1,3,3,1,3,3,3,1,1,4,1,8,8,5,2,4,7,6,10,5,7,1,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,3,3,5,4,5,5,3,3,7,10,10,0,7,0,0,0,0,4,0,6,6,5,3,6,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,15,15,1,2,,1,7,-9,1,21,1,2,,2,8,1,7,2,4,4,4
1001-93,1001,93,2025,3,.4152878204728351,93285,15,9,2,3,8,5,3,5,2,5,5,5,5,5,10,6,1,3,3,4,1,3,2,2,8,2,5,3,6,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,4,1,4,3,3,3,-8,2,3,3,-8,3,3,1,-8,3,4,2,1,10,1,1,2,1,2,2,2,3,1,1,2,4,2,3,4,6,2,6,8,6,5,9,0,0,0,2,1,1,1,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,4,1,2,3,4,3,3,3,6,10,10,5,8,1,9,1,6,5,1,9,10,3,4,8,7,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2,5,26,,1,1,,1,5,13,2,33,1,1,5,1,8,2,3,1,,1,8
1002-93,1002,93,2025,3,1.125629927727084,93285,15,9,2,3,2,4,5,5,2,4,4,3,4,4,5,10,1,3,1,3,1,3,3,2,8,1,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,4,4,4,3,1,-8,-8,3,3,3,3,4,3,3,2,3,3,3,2,4,3,3,1,3,1,1,1,2,2,2,2,2,2,4,1,6,3,7,9,9,1,4,10,6,10,0,1,1,1,1,4,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,,2,1,2,4,8,2,2,5,5,9,10,6,4,0,0,7,0,0,1,0,10,5,8,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,15,15,1,2,,10,13,-9,1,62,1,1,5,1,1,2,1,1,,0,2
1003-93,1003,93,2025,3,.4152878204728351,93285,15,9,2,4,6,3,5,5,4,4,3,2,4,2,1,7,13,1,2,2,2,4,2,2,6,1,5,3,4,4,5,6,6,6,2,6,6,6,1,6,6,-8,1,1,4,1,4,4,4,3,4,3,3,4,4,1,3,1,4,3,-8,3,1,9,1,1,1,1,1,2,1,3,2,4,3,4,4,5,2,1,9,4,0,6,9,14,1,6,6,10,3,2,3,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,2,1,3,3,8,3,5,-9,6,5,5,0,1,1,0,0,1,0,0,0,3,4,4,8,1,3,3,2,3,3,3,2,1,1,1,1,1,1,1,5,5,15,15,1,1,,9,6,-6,2,41,1,1,5,1,8,2,1,1,,1,2
1004-93,1004,93,2025,3,.2223660366152959,93285,15,9,2,3,6,5,5,5,4,5,4,5,5,4,11,7,6,1,3,3,3,3,3,2,-9,3,5,3,1,6,4,6,4,6,6,6,6,3,6,6,6,3,3,4,3,3,1,3,3,4,4,3,3,4,3,3,2,3,3,3,3,3,5,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,5,8,5,10,10,9,2,13,10,2,10,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,4,2,3,5,5,10,10,1,1,1,3,-8,1,1,3,1,10,4,9,8,4,4,1,1,2,3,2,2,2,2,2,2,2,3,2,1,2,5,15,15,1,1,,6,1,13,2,46,1,1,5,1,8,2,2,1,,0,1
1005-93,1005,93,2025,3,1.362320727816059,93111,14,9,1,3,10,5,5,5,1,5,5,3,5,5,9,14,26,3,3,4,2,3,3,2,10,3,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,4,1,2,2,2,2,2,1,4,2,2,3,3,3,1,2,1,2,1,2,1,3,10,1,1,1,1,1,1,1,2,1,3,2,1,1,5,1,1,8,5,0,1,-9,,0,10,0,0,1,1,1,2,4,1,2,2,2,2,2,2,-8,1,2,2,2,2,2,1,1,2,2,,3,8,3,12,6,3,2,4,0,10,10,0,0,0,0,0,0,0,0,0,4,3,2,3,4,3,2,2,3,2,3,2,1,1,1,1,1,1,1,-9,5,15,15,2,,2,3,1,-6,2,29,2,2,,1,8,2,6,2,8,1,2
1006-93,1006,93,2025,3,1.489861516857823,93111,14,9,1,3,7,5,5,-7,4,-7,4,4,-7,4,3,2,10,3,3,3,3,5,3,2,7,1,2,6,2,3,2,6,6,6,6,6,6,6,6,4,6,4,3,1,3,2,2,3,3,3,3,1,3,2,2,2,3,2,2,3,3,2,2,4,2,2,1,1,2,1,1,3,2,3,2,2,2,3,4,3,5,4,5,1,3,2,5,3,0,5,1,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,,3,3,3,4,4,3,4,4,3,9,2,0,2,0,0,0,0,0,0,2,1,3,3,2,5,2,3,2,3,2,2,2,1,1,2,1,1,1,2,3,4,1,,2,,2,11,9,13,1,20,1,2,,2,8,1,5,2,3,4,4
