"id_bu","sexo","edad","eval_gob_1","percepcion_2","percepcion_3","percepcion_4","percepcion_5","percepcion_6","democracia_21","confianza_6_d","confianza_6_i","confianza_6_k","confianza_6_o","confianza_6_p","confianza_i","clase_3","clase_4"
"1-93","2",52,3,2,1,1,2,3,3,3,4,4,3,4,1.4,3,4
"10-93","2",60,1,2,2,2,3,4,3,3,3,3,3,2,2.2,2,3
"100-93","2",34,1,3,2,2,3,3,1,2,4,4,3,3,1.8,2,3
"1000-93","1",21,1,3,2,2,4,3,3,3,3,3,2,3,2.2,2,3
"1001-93","2",33,1,3,1,2,4,5,2,1,3,3,3,3,2.4,1,2
"1002-93","1",62,1,3,3,1,3,5,1,4,3,3,4,3,1.6,1,1
"1003-93","2",41,1,1,2,2,2,4,1,1,3,4,1,3,2.6,3,2
"1004-93","2",46,1,1,1,1,3,3,1,3,3,4,3,2,2,3,4
"1005-93","2",29,1,3,1,1,4,4,3,2,3,3,1,2,2.8,2,2
"1006-93","1",20,1,3,1,1,3,3,2,2,3,2,2,3,2.6,2,3
"1007-93","1",57,1,2,2,2,4,2,1,4,4,4,3,3,1.4,3,4
"1008-93","2",25,1,3,3,1,3,5,1,1,1,1,1,1,4,1,1
"1009-93","1",82,1,2,2,1,2,3,3,3,3,4,2,2,2.2,2,3
"101-93","1",60,1,1,1,2,4,4,1,4,3,3,3,3,1.8,3,2
"1010-93","1",36,1,3,2,2,3,3,2,3,4,4,4,4,1.2,2,3
"1011-93","1",51,1,1,2,2,4,3,3,3,4,4,3,4,1.4,2,3
"1014-93","1",74,3,3,3,2,4,4,2,4,3,4,3,4,1.4,1,1
"1015-93","1",23,1,3,1,2,4,3,3,2,4,4,4,3,1.6,2,3
"1016-93","1",40,1,1,1,1,2,3,1,3,3,3,3,3,2,3,4
"1017-93","1",21,2,3,2,2,3,3,3,2,3,3,3,3,2.2,2,3
"1018-93","2",29,3,4,3,3,4,4,3,3,3,4,4,3,1.6,1,1
"1019-93","2",30,3,4,2,1,4,3,2,4,4,3,3,3,1.6,2,3
"102-93","1",64,1,3,3,2,1,4,1,3,3,3,3,3,2,1,1
"1020-93","2",85,1,2,1,1,1,3,1,4,4,4,3,4,1.2,3,4
"1021-93","2",64,1,2,2,2,3,3,3,3,4,3,3,3,1.8,2,3
"1022-93","1",62,1,3,2,1,3,3,3,3,3,4,3,2,2,2,3
"1023-93","2",77,1,2,3,1,4,5,2,4,4,4,3,4,1.2,1,2
"1024-93","2",48,1,2,3,2,4,4,3,3,3,3,2,3,2.2,1,2
"1025-93","2",43,1,2,2,2,4,3,1,4,4,4,3,3,1.4,2,3
"1026-93","2",40,1,4,3,1,4,1,3,3,4,4,3,4,1.4,1,1
"1027-93","1",27,1,2,3,1,3,3,1,2,4,3,3,3,2,1,3
"1028-93","2",40,1,3,2,2,2,3,2,3,4,4,2,4,1.6,2,3
"1029-93","2",58,3,2,2,2,2,3,2,3,2,2,1,2,3,2,3
"103-93","2",75,1,2,2,1,3,3,1,3,4,4,1,2,2.2,2,3
"1030-93","2",38,1,2,1,2,4,3,3,4,3,3,3,3,1.8,2,3
"1031-93","1",58,1,3,2,2,5,3,3,3,3,3,3,3,2,1,1
"1032-93","1",70,1,2,3,2,4,3,3,2,3,3,2,2,2.6,1,2
"1034-93","2",73,1,1,2,2,4,3,2,4,4,4,3,3,1.4,2,3
"1035-93","1",52,1,2,2,2,5,4,3,3,4,1,3,3,2.2,1,2
"1036-93","2",82,1,2,3,2,3,4,3,4,4,4,3,4,1.2,1,2
"1037-93","1",74,1,1,1,1,3,3,3,3,4,4,3,3,1.6,3,4
"1038-93","2",72,3,3,2,3,5,3,3,3,3,3,2,3,2.2,1,1
"1039-93","1",42,1,1,1,1,2,3,3,4,4,2,4,4,1.4,3,4
"1040-93","1",46,3,4,2,2,4,3,1,4,3,4,4,3,1.4,2,3
"1041-93","2",51,1,2,3,2,2,3,1,4,4,4,3,4,1.2,1,2
"1042-93","1",18,1,3,3,2,3,3,3,4,3,3,4,3,1.6,1,1
"1043-93","2",67,1,1,2,2,1,3,3,4,3,4,3,3,1.6,3,4
"1044-93","1",55,2,3,2,2,3,3,1,3,4,4,3,3,1.6,2,3
"1045-93","2",63,1,1,1,1,4,4,1,4,4,4,3,4,1.2,3,2
"1046-93","2",45,1,2,2,2,3,3,2,3,3,3,3,3,2,2,3
"1047-93","2",61,1,2,2,2,4,3,3,4,4,4,2,4,1.4,2,3
"1048-93","1",58,1,2,1,1,3,4,1,4,4,4,3,3,1.4,3,2
"1049-93","2",44,1,3,2,2,4,3,1,4,3,3,4,4,1.4,2,3
"1050-93","1",23,1,3,2,2,3,3,3,3,4,4,3,4,1.4,2,3
"1052-93","1",53,1,2,2,2,4,4,3,4,3,4,2,4,1.6,2,3
"1054-93","2",68,1,3,1,2,3,3,3,2,3,2,3,1,2.8,2,3
"1056-93","2",57,1,3,3,2,2,3,2,3,3,3,4,4,1.6,1,1
"1059-93","2",60,1,2,3,2,4,5,3,4,4,4,1,4,1.6,1,2
"106-93","1",41,1,1,1,2,1,2,1,4,4,4,4,4,1,3,4
"1062-93","1",38,1,3,2,2,3,5,2,2,4,3,3,3,2,1,1
"1063-93","2",42,3,4,2,3,4,4,3,4,2,4,3,4,1.6,1,1
"1064-93","1",45,2,3,2,2,3,3,2,3,3,3,4,3,1.8,2,3
"1065-93","2",45,1,2,1,2,2,5,1,1,3,3,3,1,2.8,3,2
"1066-93","2",44,1,1,1,1,3,4,1,3,4,4,4,4,1.2,3,2
"1067-93","1",32,1,3,3,1,5,5,3,3,3,3,4,3,1.8,1,1
"1068-93","2",37,1,3,1,1,4,5,3,3,4,4,4,4,1.2,1,2
"1069-93","2",43,1,1,1,1,3,3,1,2,4,3,2,4,2,3,4
"107-93","2",49,1,1,1,1,3,5,2,3,3,4,3,3,1.8,3,2
"1070-93","2",27,1,3,2,3,3,4,3,4,3,3,4,2,1.8,2,3
"1071-93","2",66,1,2,2,1,4,3,3,4,4,4,3,3,1.4,2,3
"1072-93","2",38,1,3,3,3,3,4,1,3,3,3,3,3,2,1,1
"1074-93","2",73,3,3,3,3,3,3,3,4,1,3,4,4,1.8,1,1
"1075-93","2",79,3,3,3,3,3,4,3,2,2,1,1,1,3.6,1,1
"1076-93","1",46,1,2,1,1,2,2,3,4,4,4,4,3,1.2,3,4
"1077-93","1",30,3,3,1,2,4,3,3,3,2,3,3,3,2.2,2,3
"1078-93","2",48,1,1,1,1,3,2,2,4,4,4,4,4,1,3,4
"1079-93","2",64,3,1,1,2,2,2,3,4,1,3,2,3,2.4,3,4
"108-93","1",79,1,4,2,3,3,3,3,4,4,4,4,4,1,2,3
"1080-93","2",61,1,3,2,2,3,3,3,3,4,4,4,3,1.4,2,3
"1082-93","1",56,1,1,1,2,4,3,2,3,3,4,3,3,1.8,3,4
"1083-93","2",34,1,4,2,2,4,3,2,4,4,4,4,4,1,2,3
"1084-93","2",39,1,2,2,1,2,3,2,4,4,3,3,4,1.4,2,3
"1085-93","2",39,3,3,2,3,4,3,3,3,2,3,3,3,2.2,2,3
"1086-93","2",58,1,2,2,1,4,3,1,3,3,3,3,3,2,2,3
"1088-93","2",51,1,1,1,1,1,3,2,4,4,4,4,4,1,3,4
"1089-93","2",39,1,3,2,2,4,3,3,3,4,4,3,3,1.6,2,3
"109-93","1",54,1,1,1,1,2,2,1,4,4,4,4,4,1,3,4
"1090-93","2",49,1,1,1,1,3,2,2,2,4,4,2,4,1.8,3,4
"1091-93","2",53,1,1,3,1,3,3,2,4,4,3,4,3,1.4,3,2
"1092-93","1",64,3,2,2,2,4,3,2,3,3,3,3,3,2,2,3
"1093-93","2",43,1,2,2,1,3,3,1,4,4,4,4,3,1.2,2,3
"1094-93","1",49,1,2,1,2,3,3,1,3,3,4,3,3,1.8,3,4
"1095-93","2",67,1,3,2,1,3,3,3,3,3,4,3,3,1.8,2,3
"1096-93","1",63,1,2,1,2,2,3,1,4,4,4,2,4,1.4,3,4
"1097-93","2",39,1,2,1,1,1,4,2,3,4,3,3,4,1.6,3,4
"1098-93","1",61,1,2,2,1,4,3,3,2,4,4,2,1,2.4,2,3
"1099-93","2",22,1,2,2,2,3,5,3,3,3,4,3,3,1.8,1,2
"11-93","1",71,1,1,1,1,4,2,1,4,4,4,4,4,1,3,4
"1100-93","2",42,1,2,2,2,3,3,3,4,4,4,3,3,1.4,2,3
"1101-93","2",63,1,1,1,1,3,3,3,4,4,3,3,3,1.6,3,4
"1102-93","2",46,1,1,1,1,3,4,2,4,4,4,4,4,1,3,2
"1103-93","1",28,1,2,2,2,4,3,3,3,3,4,3,3,1.8,2,3
"1104-93","1",67,3,4,3,2,4,3,3,2,1,3,2,2,3,1,1
